name;des;type;source;my_opinion
wall_post_wphone_cnt;постов сделано через windowsphone;cnt;wall;1
wall_posted_photo_cnt;??? устарело ;cnt;wall;-1
wall_posted_photo_max;??? устарело ;real;wall;-1
wall_posted_photo_mean;??? устарело ;real;wall;-1
wall_posted_photo_median;??? устарело ;real;wall;-1
wall_repost_cnt;записи текущего юзера репостнули столько раз;cnt;wall;1
wall_repost_group_cnt;репостов групп на стене;cnt;wall;1
wall_repost_max;максимальное число репостов записи текущего юзера;real;wall;1
wall_repost_mean;среднее число репостов записей текущего юзера;real;wall;1
wall_repost_median;медианное число репостов запси текущего юзера;real;wall;1
wall_repost_user_cnt;репостов юзеров на стене ;cnt;wall;1
wall_slowpok_hour_max;мксимально часов между оригинальным постом и репостом этого поста ;real;wall;1
wall_slowpok_hour_median;медиана часов  между оригинальным постом и репостом;real;wall;1
wall_sticker_cnt;всего стикеров на стене ;cnt;wall;-1
wall_sticker_max;максимально стикеров в посте ;real;wall;-1
wall_sticker_mean;в среднем стикеров в посте;real;wall;-1
wall_sticker_median;медианно стикеров в посте ;real;wall;-1
wall_text_len_cnt;суммурная длина стены в числе символов;cnt;wall;0
wall_text_len_max;максимальная длина поста ;real;wall;1
wall_text_len_mean;средняя длина поста ;real;wall;1
wall_text_len_median;медианная длина поста ;real;wall;1
wall_video_cnt;всего видео на стене;cnt;wall;1
wall_video_max;максимально видео в посте ;real;wall;1
wall_video_mean;в среднем видео в посте ;real;wall;1
wall_video_median;медианно видео в посте ;real;wall;1
wall_yer_mean;в среднем записей на стене за год ;real;wall;1
